バージョン,曲名,難易度,レベル,ノーツレーダー属性
Pinky Crush,EX-MASSIVE FIGHTER,ANOTHER,12,CHORD
tricoro,examination leave,NORMAL,6,NOTES
tricoro,examination leave,HYPER,9,NOTES
tricoro,examination leave,ANOTHER,11,CHORD
copula,Exchange Place,NORMAL,4,NOTES
copula,Exchange Place,HYPER,7,
copula,Exchange Place,ANOTHER,9,PEAK
10th style,EXE,NORMAL,4,NOTES
10th style,EXE,HYPER,8,NOTES
10th style,EXE,ANOTHER,10,NOTES
CANNON BALLERS,Exhaust Hype,NORMAL,5,
CANNON BALLERS,Exhaust Hype,HYPER,9,NOTES
CANNON BALLERS,Exhaust Hype,ANOTHER,11,CHORD
RESIDENT,EXODUS SIGN,NORMAL,6,NOTES
RESIDENT,EXODUS SIGN,HYPER,9,NOTES
RESIDENT,EXODUS SIGN,ANOTHER,11,SCRATCH
CANNON BALLERS,Expanded !!,NORMAL,4,NOTES
CANNON BALLERS,Expanded !!,HYPER,8,NOTES
CANNON BALLERS,Expanded !!,ANOTHER,10,CHORD
BISTROVER,Explorer feat. ぷにぷに電機,NORMAL,4,NOTES
BISTROVER,Explorer feat. ぷにぷに電機,HYPER,7,NOTES
BISTROVER,Explorer feat. ぷにぷに電機,ANOTHER,10,NOTES
BISTROVER,Explorer feat. ぷにぷに電機,LEGGENDARIA,11,NOTES
Lincle,Express Emotion,NORMAL,4,
Lincle,Express Emotion,HYPER,6,NOTES
Lincle,Express Emotion,ANOTHER,10,NOTES
SPADA,EXTREME MACH COLLIDER,NORMAL,5,
SPADA,EXTREME MACH COLLIDER,HYPER,8,
SPADA,EXTREME MACH COLLIDER,ANOTHER,11,NOTES
SIRIUS,EXUSIA,NORMAL,6,NOTES
SIRIUS,EXUSIA,HYPER,10,NOTES
SIRIUS,EXUSIA,ANOTHER,12,NOTES
Lincle,F,NORMAL,5,NOTES
Lincle,F,HYPER,10,NOTES
Lincle,F,ANOTHER,12,NOTES
RESIDENT,Fading Stars,NORMAL,5,NOTES/PEAK
RESIDENT,Fading Stars,HYPER,8,NOTES
RESIDENT,Fading Stars,ANOTHER,10,NOTES
HEROIC VERSE,fairy cocktail,NORMAL,3,PEAK
HEROIC VERSE,fairy cocktail,HYPER,6,NOTES
HEROIC VERSE,fairy cocktail,ANOTHER,8,NOTES
INFINITAS,FAKE STYLE II,NORMAL,4,
INFINITAS,FAKE STYLE II,HYPER,7,
INFINITAS,FAKE STYLE II,ANOTHER,10,SCRATCH
PENDUAL,fallen leaves -IIDX edition-,NORMAL,6,
PENDUAL,fallen leaves -IIDX edition-,HYPER,10,CHARGE
PENDUAL,fallen leaves -IIDX edition-,ANOTHER,12,NOTES
Resort Anthem,Fantasia,BEGINNER,1,PEAK
Resort Anthem,Fantasia,NORMAL,3,PEAK
Resort Anthem,Fantasia,HYPER,8,NOTES
Resort Anthem,Fantasia,ANOTHER,10,CHORD
CastHour,Fantastic Merry-Go-Round,NORMAL,4,
CastHour,Fantastic Merry-Go-Round,HYPER,7,NOTES
CastHour,Fantastic Merry-Go-Round,ANOTHER,9,NOTES
PENDUAL,FANTASTIC THREE,NORMAL,7,NOTES
PENDUAL,FANTASTIC THREE,HYPER,10,PEAK
PENDUAL,FANTASTIC THREE,ANOTHER,12,NOTES
Lincle,Far east nightbird,BEGINNER,2,PEAK
Lincle,Far east nightbird,NORMAL,3,PEAK
Lincle,Far east nightbird,HYPER,7,NOTES
Lincle,Far east nightbird,ANOTHER,9,NOTES
BISTROVER,Farewell to Marrakech,NORMAL,5,PEAK
BISTROVER,Farewell to Marrakech,HYPER,8,PEAK
BISTROVER,Farewell to Marrakech,ANOTHER,11,PEAK
GOLD,Fascination MAXX,NORMAL,9,SOF-LAN
GOLD,Fascination MAXX,HYPER,11,SOF-LAN
GOLD,Fascination MAXX,ANOTHER,12,SOF-LAN
INFINITAS,FEEDING FRENZY,NORMAL,7,PEAK
INFINITAS,FEEDING FRENZY,HYPER,10,
INFINITAS,FEEDING FRENZY,ANOTHER,12,PEAK
10th style,FEEL IT,NORMAL,5,NOTES
10th style,FEEL IT,HYPER,9,PEAK
10th style,FEEL IT,ANOTHER,10,PEAK
SPADA,Feel The Beat,NORMAL,7,SCRATCH
SPADA,Feel The Beat,HYPER,10,SCRATCH
SPADA,Feel The Beat,ANOTHER,12,NOTES
SPADA,Feel The Beat,LEGGENDARIA,12,PEAK
CastHour,Fegrix,NORMAL,6,NOTES
CastHour,Fegrix,HYPER,10,NOTES
CastHour,Fegrix,ANOTHER,12,NOTES
CANNON BALLERS,Fervidex,NORMAL,5,
CANNON BALLERS,Fervidex,HYPER,9,NOTES/PEAK
CANNON BALLERS,Fervidex,ANOTHER,11,CHORD
Lincle,fffff,NORMAL,4,NOTES
Lincle,fffff,HYPER,10,NOTES
Lincle,fffff,ANOTHER,12,NOTES
CastHour,FINALLY BLAZE,NORMAL,5,
CastHour,FINALLY BLAZE,HYPER,9,NOTES
CastHour,FINALLY BLAZE,ANOTHER,11,NOTES
CANNON BALLERS,FIRE BALL,NORMAL,5,
CANNON BALLERS,FIRE BALL,HYPER,9,
CANNON BALLERS,FIRE BALL,ANOTHER,11,NOTES
BISTROVER,Fire Beat,NORMAL,6,NOTES
BISTROVER,Fire Beat,HYPER,10,NOTES
BISTROVER,Fire Beat,ANOTHER,12,NOTES
GOLD,FIRE FIRE,BEGINNER,3,SCRATCH
GOLD,FIRE FIRE,NORMAL,7,SCRATCH
GOLD,FIRE FIRE,HYPER,10,SCRATCH
GOLD,FIRE FIRE,ANOTHER,12,PEAK
RESIDENT,FLARE -炎舞- ft.Nana Takahashi,NORMAL,5,NOTES
RESIDENT,FLARE -炎舞- ft.Nana Takahashi,HYPER,8,NOTES
RESIDENT,FLARE -炎舞- ft.Nana Takahashi,ANOTHER,10,NOTES
EMPRESS,Flash Back 90's,NORMAL,4,PEAK
EMPRESS,Flash Back 90's,HYPER,8,
EMPRESS,Flash Back 90's,ANOTHER,10,NOTES
EMPRESS,Flash Back 90's,LEGGENDARIA,11,PEAK
PENDUAL,Flashes,NORMAL,6,NOTES
PENDUAL,Flashes,HYPER,9,NOTES
PENDUAL,Flashes,ANOTHER,12,NOTES
Lincle,Flip Flap,NORMAL,3,NOTES
Lincle,Flip Flap,HYPER,7,
Lincle,Flip Flap,ANOTHER,10,CHORD
tricoro,FLOWER,BEGINNER,2,PEAK
tricoro,FLOWER,NORMAL,6,PEAK
tricoro,FLOWER,HYPER,9,NOTES
tricoro,FLOWER,ANOTHER,11,PEAK
4th style,FLOWERS for ALBION,NORMAL,2,SOF-LAN
4th style,FLOWERS for ALBION,HYPER,5,PEAK
8th style,FLUTE MAN,NORMAL,4,
8th style,FLUTE MAN,HYPER,7,
8th style,FLUTE MAN,ANOTHER,8,PEAK
EMPRESS,Fly Above,NORMAL,5,PEAK
EMPRESS,Fly Above,HYPER,6,NOTES
EMPRESS,Fly Above,ANOTHER,8,CHORD
6th style,fly through the night,NORMAL,4,PEAK
6th style,fly through the night,HYPER,7,PEAK
6th style,fly through the night,ANOTHER,8,PEAK
tricoro,Fly you to the star,NORMAL,4,SCRATCH
tricoro,Fly you to the star,HYPER,8,NOTES
tricoro,Fly you to the star,ANOTHER,10,NOTES
CastHour,Flying Castle,NORMAL,6,NOTES
CastHour,Flying Castle,HYPER,10,NOTES
CastHour,Flying Castle,ANOTHER,12,NOTES
Lincle,Follow Tomorrow,NORMAL,4,
Lincle,Follow Tomorrow,HYPER,8,NOTES
Lincle,Follow Tomorrow,ANOTHER,10,CHORD
HEROIC VERSE,Forgetting Machine,NORMAL,5,
HEROIC VERSE,Forgetting Machine,HYPER,8,NOTES
HEROIC VERSE,Forgetting Machine,ANOTHER,10,NOTES
DJ TROOPERS,four pieces of heaven,NORMAL,5,SOF-LAN
DJ TROOPERS,four pieces of heaven,HYPER,10,SOF-LAN
DJ TROOPERS,four pieces of heaven,ANOTHER,11,SOF-LAN
DJ TROOPERS,four pieces of heaven,LEGGENDARIA,12,PEAK
GOLD,four-leaf,NORMAL,4,PEAK
GOLD,four-leaf,HYPER,6,PEAK
GOLD,four-leaf,ANOTHER,8,PEAK
tricoro,Fractal,NORMAL,6,
tricoro,Fractal,HYPER,9,
tricoro,Fractal,ANOTHER,11,NOTES
6th style,Free Style,NORMAL,5,NOTES
6th style,Free Style,HYPER,6,NOTES
6th style,Free Style,ANOTHER,7,NOTES
CANNON BALLERS,FREEDOM,NORMAL,5,SCRATCH
CANNON BALLERS,FREEDOM,HYPER,8,NOTES
CANNON BALLERS,FREEDOM,ANOTHER,11,CHORD
DJ TROOPERS,Freeway Shuffle,BEGINNER,2,PEAK
DJ TROOPERS,Freeway Shuffle,NORMAL,4,NOTES
DJ TROOPERS,Freeway Shuffle,HYPER,7,NOTES
DJ TROOPERS,Freeway Shuffle,ANOTHER,10,PEAK
EPOLIS,frequent,NORMAL,5,
EPOLIS,frequent,HYPER,10,NOTES
EPOLIS,frequent,ANOTHER,12,NOTES
HEROIC VERSE,Friction[!]Function,NORMAL,6,PEAK
HEROIC VERSE,Friction[!]Function,HYPER,9,NOTES
HEROIC VERSE,Friction[!]Function,ANOTHER,12,NOTES
BISTROVER,Frisk And Squeak,NORMAL,4,NOTES
BISTROVER,Frisk And Squeak,HYPER,8,PEAK
BISTROVER,Frisk And Squeak,ANOTHER,10,NOTES
CANNON BALLERS,From Time To Time,NORMAL,4,NOTES
CANNON BALLERS,From Time To Time,HYPER,9,CHORD
CANNON BALLERS,From Time To Time,ANOTHER,10,NOTES
6th style,Frozen Ray (original mix),NORMAL,6,
6th style,Frozen Ray (original mix),HYPER,9,NOTES
6th style,Frozen Ray (original mix),ANOTHER,9,NOTES
9th style,fun,NORMAL,4,
9th style,fun,HYPER,7,
9th style,fun,ANOTHER,10,SOF-LAN
SPADA,Funny shuffle,NORMAL,3,NOTES
SPADA,Funny shuffle,HYPER,6,NOTES
SPADA,Funny shuffle,ANOTHER,11,PEAK
CANNON BALLERS,FUTURE is Dead,NORMAL,5,
CANNON BALLERS,FUTURE is Dead,HYPER,8,PEAK
CANNON BALLERS,FUTURE is Dead,ANOTHER,11,SOF-LAN
SINOBUZ,FUZIN RIZIN,NORMAL,5,NOTES
SINOBUZ,FUZIN RIZIN,HYPER,9,NOTES
SINOBUZ,FUZIN RIZIN,ANOTHER,12,NOTES
6th style,G2,NORMAL,8,NOTES
6th style,G2,HYPER,9,
6th style,G2,ANOTHER,11,NOTES
SIRIUS,G59,NORMAL,7,NOTES
SIRIUS,G59,HYPER,10,NOTES
SIRIUS,G59,ANOTHER,12,CHORD
tricoro,GAIA,NORMAL,5,PEAK
tricoro,GAIA,HYPER,10,PEAK
tricoro,GAIA,ANOTHER,12,NOTES
SIRIUS,GALGALIM,NORMAL,6,NOTES
SIRIUS,GALGALIM,HYPER,10,NOTES
SIRIUS,GALGALIM,ANOTHER,11,NOTES
1st&substream,GAMBOL,NORMAL,2,PEAK
1st&substream,GAMBOL,HYPER,2,PEAK
CastHour,Game Changers,NORMAL,4,PEAK
CastHour,Game Changers,HYPER,8,SCRATCH
CastHour,Game Changers,ANOTHER,11,SCRATCH
DistorteD,Ganymede,NORMAL,6,
DistorteD,Ganymede,HYPER,10,PEAK
DistorteD,Ganymede,ANOTHER,11,PEAK
DistorteD,Ganymede,LEGGENDARIA,12,PEAK
HAPPY SKY,garden,NORMAL,4,PEAK
HAPPY SKY,garden,HYPER,7,NOTES
HAPPY SKY,garden,ANOTHER,10,CHORD
Rootage,Garuda,NORMAL,5,
Rootage,Garuda,HYPER,9,NOTES
Rootage,Garuda,ANOTHER,11,NOTES
Rootage,Geirskogul,NORMAL,5,NOTES
Rootage,Geirskogul,HYPER,8,PEAK
Rootage,Geirskogul,ANOTHER,10,PEAK
Rootage,GENE,NORMAL,7,PEAK
Rootage,GENE,HYPER,10,NOTES
Rootage,GENE,ANOTHER,12,NOTES
copula,GENERATE feat.綾倉盟,NORMAL,5,NOTES
copula,GENERATE feat.綾倉盟,HYPER,8,NOTES
copula,GENERATE feat.綾倉盟,ANOTHER,10,NOTES
IIDX RED,GENOCIDE,NORMAL,6,PEAK
IIDX RED,GENOCIDE,HYPER,10,
IIDX RED,GENOCIDE,ANOTHER,11,NOTES
1st&substream,GENOM SCREAMS,NORMAL,3,
1st&substream,GENOM SCREAMS,HYPER,6,NOTES
1st&substream,GENOM SCREAMS,ANOTHER,9,PEAK
EPOLIS,Get Higher,NORMAL,6,PEAK
EPOLIS,Get Higher,HYPER,9,PEAK
EPOLIS,Get Higher,ANOTHER,11,PEAK
RESIDENT,Get On Your Feet,NORMAL,5,NOTES
RESIDENT,Get On Your Feet,HYPER,9,NOTES
RESIDENT,Get On Your Feet,ANOTHER,11,NOTES
copula,GET READY!!,NORMAL,6,
copula,GET READY!!,HYPER,9,
copula,GET READY!!,ANOTHER,11,CHORD
CastHour,Get set， Go! feat.Kanae Asaba,NORMAL,4,NOTES
CastHour,Get set， Go! feat.Kanae Asaba,HYPER,7,NOTES
CastHour,Get set， Go! feat.Kanae Asaba,ANOTHER,10,NOTES
RESIDENT,GET UP AGAIN,NORMAL,6,
RESIDENT,GET UP AGAIN,HYPER,8,NOTES
RESIDENT,GET UP AGAIN,ANOTHER,10,NOTES
CANNON BALLERS,Get Up! feat. Kanae Asaba,NORMAL,3,PEAK
CANNON BALLERS,Get Up! feat. Kanae Asaba,HYPER,7,PEAK
CANNON BALLERS,Get Up! feat. Kanae Asaba,ANOTHER,9,NOTES
EPOLIS,Get Wicked,NORMAL,5,NOTES
EPOLIS,Get Wicked,HYPER,8,NOTES
EPOLIS,Get Wicked,ANOTHER,10,CHORD
HAPPY SKY,Get'em up to R.A.V.E,NORMAL,5,
HAPPY SKY,Get'em up to R.A.V.E,HYPER,8,NOTES
HAPPY SKY,Get'em up to R.A.V.E,ANOTHER,10,NOTES
INFINITAS,GHEL NAGARAJA,NORMAL,6,
INFINITAS,GHEL NAGARAJA,HYPER,10,
INFINITAS,GHEL NAGARAJA,ANOTHER,12,NOTES
HEROIC VERSE,GHOST,NORMAL,5,
HEROIC VERSE,GHOST,HYPER,8,PEAK
HEROIC VERSE,GHOST,ANOTHER,11,PEAK
EPOLIS,Ghost Pulse,NORMAL,6,
EPOLIS,Ghost Pulse,HYPER,9,PEAK
EPOLIS,Ghost Pulse,ANOTHER,12,PEAK
10th style,GHOST REVIVAL,NORMAL,5,PEAK
10th style,GHOST REVIVAL,HYPER,9,NOTES
10th style,GHOST REVIVAL,ANOTHER,10,NOTES
BISTROVER,GIGA RAID,NORMAL,5,
BISTROVER,GIGA RAID,HYPER,9,NOTES
BISTROVER,GIGA RAID,ANOTHER,11,CHARGE
Rootage,GIGA THRASH,NORMAL,6,NOTES
Rootage,GIGA THRASH,HYPER,9,NOTES
Rootage,GIGA THRASH,ANOTHER,11,NOTES
HEROIC VERSE,GIGA VIOLATE,NORMAL,6,PEAK
HEROIC VERSE,GIGA VIOLATE,HYPER,8,NOTES
HEROIC VERSE,GIGA VIOLATE,ANOTHER,11,NOTES
IIDX RED,gigadelic,BEGINNER,3,
IIDX RED,gigadelic,NORMAL,9,PEAK
IIDX RED,gigadelic,HYPER,12,PEAK
IIDX RED,gigadelic,ANOTHER,12,PEAK
CastHour,GiGaGaHell,NORMAL,7,NOTES
CastHour,GiGaGaHell,HYPER,10,NOTES
CastHour,GiGaGaHell,ANOTHER,12,PEAK
Lincle,GIGANT,NORMAL,3,NOTES
Lincle,GIGANT,HYPER,6,NOTES
Lincle,GIGANT,ANOTHER,9,NOTES
INFINITAS,Gimme a Big Beat,NORMAL,5,
INFINITAS,Gimme a Big Beat,HYPER,8,
INFINITAS,Gimme a Big Beat,ANOTHER,10,CHORD
EPOLIS,Glitch N Ride,NORMAL,7,SOF-LAN
EPOLIS,Glitch N Ride,HYPER,10,
EPOLIS,Glitch N Ride,ANOTHER,12,SOF-LAN
8th style,Giudecca,NORMAL,4,NOTES
8th style,Giudecca,HYPER,9,NOTES
8th style,Giudecca,ANOTHER,11,PEAK
SPADA,Give Me Your Love,NORMAL,4,
SPADA,Give Me Your Love,HYPER,7,
SPADA,Give Me Your Love,ANOTHER,9,CHORD
BISTROVER,Globe Glitter,NORMAL,5,
BISTROVER,Globe Glitter,HYPER,8,NOTES
BISTROVER,Globe Glitter,ANOTHER,11,NOTES
EPOLIS,GloriosA,NORMAL,6,
EPOLIS,GloriosA,HYPER,9,NOTES
EPOLIS,GloriosA,ANOTHER,11,NOTES
7th style,Glorious Days,NORMAL,3,SOF-LAN
7th style,Glorious Days,HYPER,5,SOF-LAN
7th style,Glorious Days,ANOTHER,6,SOF-LAN
EPOLIS,GLORIOUS HAMMER,NORMAL,6,NOTES
EPOLIS,GLORIOUS HAMMER,HYPER,9,NOTES
EPOLIS,GLORIOUS HAMMER,ANOTHER,11,NOTES
Rootage,Glory,NORMAL,4,PEAK
Rootage,Glory,HYPER,7,
Rootage,Glory,ANOTHER,9,NOTES
SINOBUZ,Go Ahead!!,NORMAL,7,PEAK
SINOBUZ,Go Ahead!!,HYPER,10,PEAK
SINOBUZ,Go Ahead!!,ANOTHER,12,PEAK
EMPRESS,Go Beyond!!,BEGINNER,3,
EMPRESS,Go Beyond!!,NORMAL,6,
EMPRESS,Go Beyond!!,HYPER,10,PEAK
EMPRESS,Go Beyond!!,ANOTHER,12,PEAK
copula,Go Faraway,NORMAL,5,NOTES
copula,Go Faraway,HYPER,7,NOTES
copula,Go Faraway,ANOTHER,10,NOTES
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,NORMAL,6,PEAK
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,HYPER,10,NOTES
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,ANOTHER,12,CHORD
Pinky Crush,God Mind,NORMAL,7,SCRATCH
Pinky Crush,God Mind,HYPER,10,NOTES
Pinky Crush,God Mind,ANOTHER,12,NOTES
copula,Godspeed,NORMAL,7,
copula,Godspeed,HYPER,10,NOTES
copula,Godspeed,ANOTHER,12,NOTES
GOLD,GOLD RUSH,BEGINNER,3,
GOLD,GOLD RUSH,NORMAL,7,NOTES
GOLD,GOLD RUSH,HYPER,9,NOTES
GOLD,GOLD RUSH,ANOTHER,11,NOTES
Resort Anthem,Golden Palms,NORMAL,5,NOTES
Resort Anthem,Golden Palms,HYPER,8,CHARGE
Resort Anthem,Golden Palms,ANOTHER,10,CHARGE
Resort Anthem,Golden Palms,LEGGENDARIA,11,CHARGE
10th style,GRADIUS -FULL SPEED-,NORMAL,4,SOF-LAN
10th style,GRADIUS -FULL SPEED-,HYPER,8,SOF-LAN
10th style,GRADIUS -FULL SPEED-,ANOTHER,10,SOF-LAN
tricoro,GRADIUS 2012,NORMAL,5,
tricoro,GRADIUS 2012,HYPER,8,CHARGE
tricoro,GRADIUS 2012,ANOTHER,10,NOTES
1st&substream,GRADIUSIC CYBER,NORMAL,5,NOTES
1st&substream,GRADIUSIC CYBER,HYPER,6,PEAK
1st&substream,GRADIUSIC CYBER,ANOTHER,7,NOTES
copula,Grand Chariot,NORMAL,7,NOTES
copula,Grand Chariot,HYPER,10,NOTES
copula,Grand Chariot,ANOTHER,12,NOTES
PENDUAL,Gravigazer,NORMAL,5,
PENDUAL,Gravigazer,HYPER,10,
PENDUAL,Gravigazer,ANOTHER,12,NOTES
INFINITAS,GRAVITON,NORMAL,6,NOTES
INFINITAS,GRAVITON,HYPER,10,NOTES
INFINITAS,GRAVITON,ANOTHER,12,NOTES
HAPPY SKY,GREEN EYES,NORMAL,6,PEAK
HAPPY SKY,GREEN EYES,HYPER,8,PEAK
HAPPY SKY,GREEN EYES,ANOTHER,10,NOTES
GOLD,GRID KNIGHT,NORMAL,6,
GOLD,GRID KNIGHT,HYPER,8,PEAK
GOLD,GRID KNIGHT,ANOTHER,10,CHORD
GOLD,GRID KNIGHT,LEGGENDARIA,12,CHORD
INFINITAS,GROOVE 04,NORMAL,4,
INFINITAS,GROOVE 04,HYPER,7,
INFINITAS,GROOVE 04,ANOTHER,9,CHORD
PENDUAL,GUILTY,NORMAL,5,NOTES
PENDUAL,GUILTY,HYPER,8,NOTES
PENDUAL,GUILTY,ANOTHER,10,NOTES
SINOBUZ,GuNGNiR,NORMAL,7,NOTES
SINOBUZ,GuNGNiR,HYPER,11,NOTES
SINOBUZ,GuNGNiR,ANOTHER,12,NOTES
SINOBUZ,GuNGNiR,LEGGENDARIA,12,NOTES
SINOBUZ,HADES,BEGINNER,2,PEAK
SINOBUZ,HADES,NORMAL,5,
SINOBUZ,HADES,HYPER,9,NOTES
SINOBUZ,HADES,ANOTHER,12,PEAK
Lincle,HAERETICUS,NORMAL,5,
Lincle,HAERETICUS,HYPER,10,
Lincle,HAERETICUS,ANOTHER,12,PEAK
GOLD,HALF MOON,NORMAL,4,
GOLD,HALF MOON,HYPER,8,
GOLD,HALF MOON,ANOTHER,10,PEAK
7th style,Happy Wedding,NORMAL,6,NOTES
7th style,Happy Wedding,HYPER,7,PEAK
7th style,Happy Wedding,ANOTHER,8,NOTES
HAPPY SKY,HAPPY☆ANGEL,BEGINNER,3,NOTES
HAPPY SKY,HAPPY☆ANGEL,NORMAL,5,NOTES
HAPPY SKY,HAPPY☆ANGEL,HYPER,7,NOTES
HAPPY SKY,HAPPY☆ANGEL,ANOTHER,10,NOTES
INFINITAS,HAPPY☆LUCKY☆YEAPPY,NORMAL,5,
INFINITAS,HAPPY☆LUCKY☆YEAPPY,HYPER,9,
INFINITAS,HAPPY☆LUCKY☆YEAPPY,ANOTHER,11,NOTES
Rootage,HARD BRAIN,NORMAL,6,NOTES
Rootage,HARD BRAIN,HYPER,9,NOTES
Rootage,HARD BRAIN,ANOTHER,12,NOTES
EPOLIS,Hard Breaker,NORMAL,4,
EPOLIS,Hard Breaker,HYPER,8,NOTES
EPOLIS,Hard Breaker,ANOTHER,10,NOTES
CastHour,hard-wired,NORMAL,7,
CastHour,hard-wired,HYPER,10,PEAK
CastHour,hard-wired,ANOTHER,12,PEAK
Resort Anthem,Hardcore Mania,NORMAL,6,
Resort Anthem,Hardcore Mania,HYPER,8,
Resort Anthem,Hardcore Mania,ANOTHER,10,NOTES
INFINITAS,Harmonia,NORMAL,4,NOTES
INFINITAS,Harmonia,HYPER,7,NOTES
INFINITAS,Harmonia,ANOTHER,10,NOTES
DistorteD,Harmony and Lovely,NORMAL,4,PEAK
DistorteD,Harmony and Lovely,HYPER,8,NOTES
DistorteD,Harmony and Lovely,ANOTHER,11,PEAK
CastHour,Hat Surprise,NORMAL,4,SCRATCH
CastHour,Hat Surprise,HYPER,8,NOTES
CastHour,Hat Surprise,ANOTHER,11,NOTES
RESIDENT,Hat Surprise (Season 2),NORMAL,5,NOTES
RESIDENT,Hat Surprise (Season 2),HYPER,9,NOTES
RESIDENT,Hat Surprise (Season 2),ANOTHER,12,NOTES
EPOLIS,Hat Surprise (Season 3),NORMAL,6,
EPOLIS,Hat Surprise (Season 3),HYPER,10,
EPOLIS,Hat Surprise (Season 3),ANOTHER,11,NOTES
CANNON BALLERS,HAT TRICK,NORMAL,5,
CANNON BALLERS,HAT TRICK,HYPER,8,PEAK
CANNON BALLERS,HAT TRICK,ANOTHER,10,NOTES
INFINITAS,Ha･lle･lu･jah,NORMAL,4,
INFINITAS,Ha･lle･lu･jah,HYPER,7,
INFINITAS,Ha･lle･lu･jah,ANOTHER,9,NOTES
INFINITAS,Ha･lle･lu･jah,LEGGENDARIA,10,NOTES
CastHour,HEARTACHE,NORMAL,3,SCRATCH
CastHour,HEARTACHE,HYPER,7,SCRATCH
CastHour,HEARTACHE,ANOTHER,10,SCRATCH
GOLD,heaven above,NORMAL,5,
GOLD,heaven above,HYPER,7,PEAK
GOLD,heaven above,ANOTHER,9,PEAK
DistorteD,Heavenly Sun (IIDX VERSION),NORMAL,4,PEAK
DistorteD,Heavenly Sun (IIDX VERSION),HYPER,7,NOTES
DistorteD,Heavenly Sun (IIDX VERSION),ANOTHER,10,NOTES
DistorteD,Heavenly Sun (IIDX VERSION),LEGGENDARIA,11,NOTES
Rootage,HEISEI,BEGINNER,2,PEAK
Rootage,HEISEI,NORMAL,6,PEAK
Rootage,HEISEI,HYPER,10,PEAK
Rootage,HEISEI,ANOTHER,11,CHORD
CANNON BALLERS,Hella Deep,NORMAL,4,
CANNON BALLERS,Hella Deep,HYPER,7,PEAK
CANNON BALLERS,Hella Deep,ANOTHER,10,SCRATCH
PENDUAL,Hello Happiness,NORMAL,5,NOTES
PENDUAL,Hello Happiness,HYPER,9,NOTES
PENDUAL,Hello Happiness,ANOTHER,11,NOTES
Pinky Crush,Here We Go Now,NORMAL,6,
Pinky Crush,Here We Go Now,HYPER,10,NOTES
Pinky Crush,Here We Go Now,ANOTHER,12,CHORD
10th style,HIGH,NORMAL,5,
10th style,HIGH,HYPER,9,PEAK
10th style,HIGH,ANOTHER,9,CHORD
GOLD,High School Love,BEGINNER,2,PEAK
GOLD,High School Love,NORMAL,4,
GOLD,High School Love,HYPER,6,PEAK
GOLD,High School Love,ANOTHER,9,CHORD
BISTROVER,HIGH VOLTAGE,NORMAL,4,
BISTROVER,HIGH VOLTAGE,HYPER,7,PEAK
BISTROVER,HIGH VOLTAGE,ANOTHER,10,NOTES
copula,Highcharge Divolt,NORMAL,6,PEAK
copula,Highcharge Divolt,HYPER,10,PEAK
copula,Highcharge Divolt,ANOTHER,12,NOTES
4th style,HIGHER,NORMAL,3,NOTES
4th style,HIGHER,HYPER,4,NOTES
4th style,HIGHER,ANOTHER,6,NOTES
2nd style,Hitch Hiker,NORMAL,3,
2nd style,Hitch Hiker,HYPER,4,
2nd style,Hitch Hiker,ANOTHER,5,PEAK
4th style,Hitch Hiker2,NORMAL,4,PEAK
4th style,Hitch Hiker2,HYPER,6,NOTES
4th style,Hitch Hiker2,ANOTHER,7,PEAK
4th style,Hitch Hiker2,LEGGENDARIA,9,NOTES
HEROIC VERSE,Hold My Hand,NORMAL,5,NOTES
HEROIC VERSE,Hold My Hand,HYPER,8,NOTES
HEROIC VERSE,Hold My Hand,ANOTHER,10,CHORD
3rd style,Holic,NORMAL,5,NOTES
3rd style,Holic,HYPER,7,PEAK
3rd style,Holic,ANOTHER,11,PEAK
tricoro,Hollywood Galaxy,NORMAL,5,NOTES
tricoro,Hollywood Galaxy,HYPER,10,NOTES
tricoro,Hollywood Galaxy,ANOTHER,12,CHARGE
PENDUAL,Hollywood Galaxy(DJ NAGAI Remix),NORMAL,6,
PENDUAL,Hollywood Galaxy(DJ NAGAI Remix),HYPER,10,
PENDUAL,Hollywood Galaxy(DJ NAGAI Remix),ANOTHER,12,NOTES
tricoro,Holy Snow,NORMAL,4,
tricoro,Holy Snow,HYPER,8,
tricoro,Holy Snow,ANOTHER,10,NOTES
INFINITAS,Hopeful Daybreak!!!,NORMAL,5,
INFINITAS,Hopeful Daybreak!!!,HYPER,8,
INFINITAS,Hopeful Daybreak!!!,ANOTHER,11,NOTES
Pinky Crush,hora de verdad,NORMAL,6,
Pinky Crush,hora de verdad,HYPER,10,
Pinky Crush,hora de verdad,ANOTHER,12,NOTES
SINOBUZ,Honey Trap,NORMAL,5,SCRATCH
SINOBUZ,Honey Trap,HYPER,8,
SINOBUZ,Honey Trap,ANOTHER,11,NOTES
IIDX RED,HORIZON,NORMAL,5,
IIDX RED,HORIZON,HYPER,7,NOTES
IIDX RED,HORIZON,ANOTHER,8,PEAK
HEROIC VERSE,Horizons of Promise,NORMAL,4,NOTES
HEROIC VERSE,Horizons of Promise,HYPER,7,NOTES
HEROIC VERSE,Horizons of Promise,ANOTHER,10,CHORD
8th style,Hormiga obrera,NORMAL,5,
8th style,Hormiga obrera,HYPER,7,
8th style,Hormiga obrera,ANOTHER,8,NOTES
tricoro,Howling,NORMAL,4,PEAK
