バージョン,曲名,難易度,レベル,ノーツレーダー属性
CANNON BALLERS,EMERALDAS,ANOTHER,12,
CastHour,EMOTiON TRiPPER,NORMAL,5,NOTES
CastHour,EMOTiON TRiPPER,HYPER,8,NOTES
CastHour,EMOTiON TRiPPER,ANOTHER,10,CHORD
tricoro,Empathetic,NORMAL,4,NOTES
tricoro,Empathetic,HYPER,8,NOTES
tricoro,Empathetic,ANOTHER,11,NOTES
4th style,empathy,NORMAL,4,PEAK
4th style,empathy,HYPER,11,PEAK
BISTROVER,Empire of Fury,NORMAL,7,PEAK
BISTROVER,Empire of Fury,HYPER,10,NOTES
BISTROVER,Empire of Fury,ANOTHER,12,
SIRIUS,Empire State Glory,NORMAL,6,NOTES
SIRIUS,Empire State Glory,HYPER,10,NOTES
SIRIUS,Empire State Glory,ANOTHER,11,NOTES
HAPPY SKY,EMPTY OF THE SKY,NORMAL,3,PEAK
HAPPY SKY,EMPTY OF THE SKY,HYPER,5,PEAK
HAPPY SKY,EMPTY OF THE SKY,ANOTHER,8,PEAK
CANNON BALLERS,encounter,NORMAL,5,
CANNON BALLERS,encounter,HYPER,9,NOTES
CANNON BALLERS,encounter,ANOTHER,12,
DJ TROOPERS,end of world,NORMAL,5,PEAK
DJ TROOPERS,end of world,HYPER,10,PEAK
DJ TROOPERS,end of world,ANOTHER,11,NOTES
Resort Anthem,Energy Drive,NORMAL,6,PEAK
Resort Anthem,Energy Drive,HYPER,8,PEAK
Resort Anthem,Energy Drive,ANOTHER,11,CHARGE
SPADA,Engraved Mark,NORMAL,4,SCRATCH
SPADA,Engraved Mark,HYPER,8,PEAK
SPADA,Engraved Mark,ANOTHER,11,NOTES
PENDUAL,entelecheia,NORMAL,7,PEAK
PENDUAL,entelecheia,HYPER,10,NOTES
PENDUAL,entelecheia,ANOTHER,12,
7th style,entrance,NORMAL,6,NOTES
7th style,entrance,HYPER,8,NOTES
7th style,entrance,ANOTHER,10,NOTES
3rd style,era (nostalmix),NORMAL,5,SOF-LAN
3rd style,era (nostalmix),HYPER,12,SOF-LAN
3rd style,era (nostalmix),ANOTHER,12,SOF-LAN
4th style,era (step mix),NORMAL,4,SOF-LAN
4th style,era (step mix),HYPER,8,SOF-LAN
4th style,era (step mix),ANOTHER,12,SOF-LAN
SIRIUS,eRAseRmOToRpHAntOM,NORMAL,8,PEAK
SIRIUS,eRAseRmOToRpHAntOM,HYPER,10,CHORD
SIRIUS,eRAseRmOToRpHAntOM,ANOTHER,12,CHORD
CastHour,Ergosphere,NORMAL,5,NOTES
CastHour,Ergosphere,HYPER,9,NOTES
CastHour,Ergosphere,ANOTHER,11,NOTES
HEROIC VERSE,EROICA,NORMAL,7,CHARGE
HEROIC VERSE,EROICA,HYPER,10,CHARGE
HEROIC VERSE,EROICA,ANOTHER,12,
PENDUAL,Erosion Mark,NORMAL,4,
PENDUAL,Erosion Mark,HYPER,8,NOTES
PENDUAL,Erosion Mark,ANOTHER,11,CHORD
SPADA,esrev:eR,NORMAL,6,NOTES
SPADA,esrev:eR,HYPER,8,NOTES
SPADA,esrev:eR,ANOTHER,9,NOTES
5th style,Estella,NORMAL,6,PEAK
5th style,Estella,HYPER,10,PEAK
BISTROVER,Euphoric Lagoon,NORMAL,5,
BISTROVER,Euphoric Lagoon,HYPER,8,NOTES
BISTROVER,Euphoric Lagoon,ANOTHER,10,CHORD
DistorteD,EURO-ROMANCE,NORMAL,5,PEAK
DistorteD,EURO-ROMANCE,HYPER,8,NOTES
DistorteD,EURO-ROMANCE,ANOTHER,11,CHORD
Rootage,EVANESCENT,NORMAL,6,SOF-LAN
Rootage,EVANESCENT,HYPER,10,SOF-LAN
Rootage,EVANESCENT,ANOTHER,12,
SIRIUS,Evans,NORMAL,7,PEAK
SIRIUS,Evans,HYPER,10,PEAK
SIRIUS,Evans,ANOTHER,12,
DJ TROOPERS,evergreen,NORMAL,5,NOTES
DJ TROOPERS,evergreen,HYPER,8,PEAK
DJ TROOPERS,evergreen,ANOTHER,11,PEAK
copula,Everlasting Last,NORMAL,5,NOTES
copula,Everlasting Last,HYPER,8,NOTES
copula,Everlasting Last,ANOTHER,10,NOTES
HEROIC VERSE,Everlasting Message,NORMAL,7,PEAK
HEROIC VERSE,Everlasting Message,HYPER,11,PEAK
HEROIC VERSE,Everlasting Message,ANOTHER,12,CHARGE
Resort Anthem,Everlasting Resort,NORMAL,5,PEAK
Resort Anthem,Everlasting Resort,HYPER,7,PEAK
Resort Anthem,Everlasting Resort,ANOTHER,10,PEAK
Pinky Crush,EX-MASSIVE FIGHTER,NORMAL,6,NOTES
Pinky Crush,EX-MASSIVE FIGHTER,HYPER,10,NOTES
Pinky Crush,EX-MASSIVE FIGHTER,ANOTHER,12,
tricoro,examination leave,NORMAL,6,NOTES
tricoro,examination leave,HYPER,10,CHORD
tricoro,examination leave,ANOTHER,11,CHORD
copula,Exchange Place,NORMAL,4,PEAK
copula,Exchange Place,HYPER,7,PEAK
copula,Exchange Place,ANOTHER,9,PEAK
10th style,EXE,NORMAL,4,NOTES
10th style,EXE,HYPER,8,NOTES
CANNON BALLERS,Exhaust Hype,NORMAL,5,
CANNON BALLERS,Exhaust Hype,HYPER,9,NOTES
CANNON BALLERS,Exhaust Hype,ANOTHER,11,CHORD
RESIDENT,EXODUS SIGN,NORMAL,6,PEAK
RESIDENT,EXODUS SIGN,HYPER,9,PEAK
RESIDENT,EXODUS SIGN,ANOTHER,11,PEAK
CANNON BALLERS,Expanded !!,NORMAL,4,NOTES
CANNON BALLERS,Expanded !!,HYPER,8,NOTES
CANNON BALLERS,Expanded !!,ANOTHER,10,CHORD
BISTROVER,Explorer feat. ぷにぷに電機,NORMAL,5,
BISTROVER,Explorer feat. ぷにぷに電機,HYPER,7,NOTES
BISTROVER,Explorer feat. ぷにぷに電機,ANOTHER,10,NOTES
BISTROVER,Explorer feat. ぷにぷに電機,LEGGENDARIA,11,NOTES
Lincle,Express Emotion,NORMAL,4,PEAK
Lincle,Express Emotion,HYPER,6,NOTES
Lincle,Express Emotion,ANOTHER,9,NOTES
SPADA,EXTREME MACH COLLIDER,NORMAL,5,NOTES
SPADA,EXTREME MACH COLLIDER,HYPER,9,NOTES
SPADA,EXTREME MACH COLLIDER,ANOTHER,10,SCRATCH
SIRIUS,EXUSIA,NORMAL,8,NOTES
SIRIUS,EXUSIA,HYPER,10,NOTES
SIRIUS,EXUSIA,ANOTHER,12,NOTES
Lincle,F,NORMAL,5,NOTES
Lincle,F,HYPER,10,NOTES
Lincle,F,ANOTHER,12,NOTES
RESIDENT,Fading Stars,NORMAL,5,
RESIDENT,Fading Stars,HYPER,8,NOTES
RESIDENT,Fading Stars,ANOTHER,10,NOTES
HEROIC VERSE,fairy cocktail,NORMAL,3,PEAK
HEROIC VERSE,fairy cocktail,HYPER,6,PEAK
HEROIC VERSE,fairy cocktail,ANOTHER,8,CHARGE
INFINITAS,FAKE STYLE II,NORMAL,4,
INFINITAS,FAKE STYLE II,HYPER,7,NOTES
INFINITAS,FAKE STYLE II,ANOTHER,10,
PENDUAL,fallen leaves -IIDX edition-,NORMAL,6,CHARGE
PENDUAL,fallen leaves -IIDX edition-,HYPER,9,CHORD
PENDUAL,fallen leaves -IIDX edition-,ANOTHER,12,
Resort Anthem,Fantasia,NORMAL,4,PEAK
Resort Anthem,Fantasia,HYPER,8,
Resort Anthem,Fantasia,ANOTHER,10,CHORD
CastHour,Fantastic Merry-Go-Round,NORMAL,4,NOTES
CastHour,Fantastic Merry-Go-Round,HYPER,7,NOTES
CastHour,Fantastic Merry-Go-Round,ANOTHER,9,CHORD
PENDUAL,FANTASTIC THREE,NORMAL,7,NOTES
PENDUAL,FANTASTIC THREE,HYPER,10,PEAK
PENDUAL,FANTASTIC THREE,ANOTHER,12,
Lincle,Far east nightbird,NORMAL,4,NOTES
Lincle,Far east nightbird,HYPER,8,PEAK
Lincle,Far east nightbird,ANOTHER,10,PEAK
BISTROVER,Farewell to Marrakech,NORMAL,5,PEAK
BISTROVER,Farewell to Marrakech,HYPER,8,NOTES
BISTROVER,Farewell to Marrakech,ANOTHER,11,PEAK
GOLD,Fascination MAXX,NORMAL,9,SOF-LAN
GOLD,Fascination MAXX,HYPER,10,SOF-LAN
GOLD,Fascination MAXX,ANOTHER,12,
INFINITAS,FEEDING FRENZY,NORMAL,7,NOTES
INFINITAS,FEEDING FRENZY,HYPER,10,NOTES
INFINITAS,FEEDING FRENZY,ANOTHER,12,
10th style,FEEL IT,NORMAL,5,NOTES
10th style,FEEL IT,HYPER,9,PEAK
10th style,FEEL IT,ANOTHER,10,PEAK
SPADA,Feel The Beat,NORMAL,6,SCRATCH
SPADA,Feel The Beat,HYPER,9,SCRATCH
SPADA,Feel The Beat,ANOTHER,11,NOTES
SPADA,Feel The Beat,LEGGENDARIA,12,
CastHour,Fegrix,NORMAL,6,NOTES
CastHour,Fegrix,HYPER,10,NOTES
CastHour,Fegrix,ANOTHER,12,
CANNON BALLERS,Fervidex,NORMAL,5,NOTES
CANNON BALLERS,Fervidex,HYPER,9,PEAK
CANNON BALLERS,Fervidex,ANOTHER,11,CHORD
Lincle,fffff,NORMAL,5,NOTES
Lincle,fffff,HYPER,10,NOTES
Lincle,fffff,ANOTHER,12,NOTES
CastHour,FINALLY BLAZE,NORMAL,5,PEAK
CastHour,FINALLY BLAZE,HYPER,9,NOTES
CastHour,FINALLY BLAZE,ANOTHER,11,NOTES
CANNON BALLERS,FIRE BALL,NORMAL,5,NOTES
CANNON BALLERS,FIRE BALL,HYPER,9,NOTES
CANNON BALLERS,FIRE BALL,ANOTHER,11,NOTES
BISTROVER,Fire Beat,NORMAL,6,NOTES
BISTROVER,Fire Beat,HYPER,10,NOTES
BISTROVER,Fire Beat,ANOTHER,12,
GOLD,FIRE FIRE,NORMAL,7,SCRATCH
GOLD,FIRE FIRE,HYPER,9,PEAK
GOLD,FIRE FIRE,ANOTHER,11,SCRATCH
RESIDENT,FLARE -炎舞- ft.Nana Takahashi,NORMAL,5,PEAK
RESIDENT,FLARE -炎舞- ft.Nana Takahashi,HYPER,8,NOTES
RESIDENT,FLARE -炎舞- ft.Nana Takahashi,ANOTHER,10,CHORD
EMPRESS,Flash Back 90's,NORMAL,5,PEAK
EMPRESS,Flash Back 90's,HYPER,8,PEAK
EMPRESS,Flash Back 90's,ANOTHER,9,
EMPRESS,Flash Back 90's,LEGGENDARIA,10,NOTES
PENDUAL,Flashes,NORMAL,6,NOTES
PENDUAL,Flashes,HYPER,9,NOTES
PENDUAL,Flashes,ANOTHER,12,
Lincle,Flip Flap,NORMAL,3,NOTES
Lincle,Flip Flap,HYPER,7,NOTES
Lincle,Flip Flap,ANOTHER,10,CHORD
tricoro,FLOWER,NORMAL,6,PEAK
tricoro,FLOWER,HYPER,9,PEAK
tricoro,FLOWER,ANOTHER,12,
4th style,FLOWERS for ALBION,NORMAL,5,PEAK
4th style,FLOWERS for ALBION,HYPER,7,PEAK
8th style,FLUTE MAN,NORMAL,5,PEAK
8th style,FLUTE MAN,HYPER,7,PEAK
8th style,FLUTE MAN,ANOTHER,9,PEAK
EMPRESS,Fly Above,NORMAL,5,
EMPRESS,Fly Above,HYPER,8,CHORD
EMPRESS,Fly Above,ANOTHER,9,CHORD
6th style,fly through the night,NORMAL,4,PEAK
6th style,fly through the night,HYPER,8,PEAK
6th style,fly through the night,ANOTHER,10,PEAK
tricoro,Fly you to the star,NORMAL,4,SCRATCH
tricoro,Fly you to the star,HYPER,8,NOTES
tricoro,Fly you to the star,ANOTHER,11,
CastHour,Flying Castle,NORMAL,6,NOTES
CastHour,Flying Castle,HYPER,10,NOTES
CastHour,Flying Castle,ANOTHER,12,
Lincle,Follow Tomorrow,NORMAL,4,PEAK
Lincle,Follow Tomorrow,HYPER,8,NOTES
Lincle,Follow Tomorrow,ANOTHER,10,CHORD
HEROIC VERSE,Forgetting Machine,NORMAL,5,NOTES
HEROIC VERSE,Forgetting Machine,HYPER,8,NOTES
HEROIC VERSE,Forgetting Machine,ANOTHER,10,PEAK
DJ TROOPERS,four pieces of heaven,NORMAL,6,SOF-LAN
DJ TROOPERS,four pieces of heaven,HYPER,10,SOF-LAN
DJ TROOPERS,four pieces of heaven,ANOTHER,12,
DJ TROOPERS,four pieces of heaven,LEGGENDARIA,12,SOF-LAN
GOLD,four-leaf,NORMAL,4,PEAK
GOLD,four-leaf,HYPER,8,PEAK
tricoro,Fractal,NORMAL,8,NOTES
tricoro,Fractal,HYPER,10,NOTES
tricoro,Fractal,ANOTHER,12,
6th style,Free Style,NORMAL,6,NOTES
6th style,Free Style,HYPER,6,NOTES
CANNON BALLERS,FREEDOM,NORMAL,5,SCRATCH
CANNON BALLERS,FREEDOM,HYPER,8,NOTES
CANNON BALLERS,FREEDOM,ANOTHER,11,
DJ TROOPERS,Freeway Shuffle,NORMAL,5,PEAK
DJ TROOPERS,Freeway Shuffle,HYPER,8,PEAK
DJ TROOPERS,Freeway Shuffle,ANOTHER,9,NOTES
EPOLIS,frequent,NORMAL,5,NOTES
EPOLIS,frequent,HYPER,10,
EPOLIS,frequent,ANOTHER,12,
HEROIC VERSE,Friction[!]Function,NORMAL,6,PEAK
HEROIC VERSE,Friction[!]Function,HYPER,9,NOTES
HEROIC VERSE,Friction[!]Function,ANOTHER,12,PEAK
BISTROVER,Frisk And Squeak,NORMAL,4,SCRATCH
BISTROVER,Frisk And Squeak,HYPER,8,PEAK
BISTROVER,Frisk And Squeak,ANOTHER,10,SCRATCH
CANNON BALLERS,From Time To Time,NORMAL,4,NOTES
CANNON BALLERS,From Time To Time,HYPER,10,NOTES
CANNON BALLERS,From Time To Time,ANOTHER,11,
6th style,Frozen Ray (original mix),NORMAL,5,PEAK
6th style,Frozen Ray (original mix),HYPER,9,PEAK
6th style,Frozen Ray (original mix),ANOTHER,9,PEAK
9th style,fun,NORMAL,4,
9th style,fun,HYPER,7,SOF-LAN
9th style,fun,ANOTHER,10,SOF-LAN
SPADA,Funny shuffle,NORMAL,4,SCRATCH
SPADA,Funny shuffle,HYPER,7,NOTES
SPADA,Funny shuffle,ANOTHER,11,CHORD
CANNON BALLERS,FUTURE is Dead,NORMAL,5,SCRATCH
CANNON BALLERS,FUTURE is Dead,HYPER,8,PEAK
CANNON BALLERS,FUTURE is Dead,ANOTHER,11,SOF-LAN
SINOBUZ,FUZIN RIZIN,NORMAL,6,NOTES
SINOBUZ,FUZIN RIZIN,HYPER,9,NOTES
SINOBUZ,FUZIN RIZIN,ANOTHER,12,
6th style,G2,NORMAL,6,PEAK
6th style,G2,HYPER,7,PEAK
6th style,G2,ANOTHER,12,
SIRIUS,G59,NORMAL,6,PEAK
SIRIUS,G59,HYPER,11,NOTES
SIRIUS,G59,ANOTHER,12,
tricoro,GAIA,NORMAL,5,NOTES
tricoro,GAIA,HYPER,10,PEAK
tricoro,GAIA,ANOTHER,12,NOTES
SIRIUS,GALGALIM,NORMAL,7,NOTES
SIRIUS,GALGALIM,HYPER,10,NOTES
SIRIUS,GALGALIM,ANOTHER,12,NOTES
1st&substream,GAMBOL,NORMAL,2,PEAK
1st&substream,GAMBOL,HYPER,2,PEAK
CastHour,Game Changers,NORMAL,4,PEAK
CastHour,Game Changers,HYPER,8,SCRATCH
CastHour,Game Changers,ANOTHER,11,CHORD
DistorteD,Ganymede,NORMAL,8,PEAK
DistorteD,Ganymede,HYPER,11,
DistorteD,Ganymede,ANOTHER,12,
DistorteD,Ganymede,LEGGENDARIA,12,
HAPPY SKY,garden,NORMAL,4,PEAK
HAPPY SKY,garden,HYPER,7,PEAK
HAPPY SKY,garden,ANOTHER,12,
Rootage,Garuda,NORMAL,6,NOTES
Rootage,Garuda,HYPER,9,NOTES
Rootage,Garuda,ANOTHER,11,
Rootage,Geirskogul,NORMAL,5,NOTES
Rootage,Geirskogul,HYPER,8,NOTES
Rootage,Geirskogul,ANOTHER,10,PEAK
Rootage,GENE,NORMAL,7,PEAK
Rootage,GENE,HYPER,9,PEAK
Rootage,GENE,ANOTHER,12,
copula,GENERATE feat.綾倉盟,NORMAL,5,NOTES
copula,GENERATE feat.綾倉盟,HYPER,8,NOTES
copula,GENERATE feat.綾倉盟,ANOTHER,10,CHORD
IIDX RED,GENOCIDE,NORMAL,6,PEAK
IIDX RED,GENOCIDE,HYPER,12,
IIDX RED,GENOCIDE,ANOTHER,12,
1st&substream,GENOM SCREAMS,NORMAL,3,PEAK
1st&substream,GENOM SCREAMS,HYPER,6,
1st&substream,GENOM SCREAMS,ANOTHER,9,PEAK
EPOLIS,Get Higher,NORMAL,6,PEAK
EPOLIS,Get Higher,HYPER,9,PEAK
EPOLIS,Get Higher,ANOTHER,11,
RESIDENT,Get On Your Feet,NORMAL,5,PEAK
RESIDENT,Get On Your Feet,HYPER,9,PEAK
RESIDENT,Get On Your Feet,ANOTHER,11,
copula,GET READY!!,NORMAL,6,PEAK
copula,GET READY!!,HYPER,9,SOF-LAN
copula,GET READY!!,ANOTHER,12,
CastHour,Get set， Go! feat.Kanae Asaba,NORMAL,4,NOTES
CastHour,Get set， Go! feat.Kanae Asaba,HYPER,7,NOTES
CastHour,Get set， Go! feat.Kanae Asaba,ANOTHER,10,NOTES
RESIDENT,GET UP AGAIN,NORMAL,6,NOTES
RESIDENT,GET UP AGAIN,HYPER,8,NOTES
RESIDENT,GET UP AGAIN,ANOTHER,10,CHORD
CANNON BALLERS,Get Up! feat. Kanae Asaba,NORMAL,4,PEAK
CANNON BALLERS,Get Up! feat. Kanae Asaba,HYPER,7,PEAK
CANNON BALLERS,Get Up! feat. Kanae Asaba,ANOTHER,9,NOTES
EPOLIS,Get Wicked,NORMAL,5,PEAK
EPOLIS,Get Wicked,HYPER,8,NOTES
EPOLIS,Get Wicked,ANOTHER,10,NOTES
HAPPY SKY,Get'em up to R.A.V.E,NORMAL,5,PEAK
HAPPY SKY,Get'em up to R.A.V.E,HYPER,8,NOTES
INFINITAS,GHEL NAGARAJA,NORMAL,6,NOTES
INFINITAS,GHEL NAGARAJA,HYPER,10,
INFINITAS,GHEL NAGARAJA,ANOTHER,12,NOTES
HEROIC VERSE,GHOST,NORMAL,5,SOF-LAN
HEROIC VERSE,GHOST,HYPER,8,PEAK
HEROIC VERSE,GHOST,ANOTHER,11,
EPOLIS,Ghost Pulse,NORMAL,6,PEAK
EPOLIS,Ghost Pulse,HYPER,9,NOTES
EPOLIS,Ghost Pulse,ANOTHER,12,
10th style,GHOST REVIVAL,NORMAL,4,PEAK
10th style,GHOST REVIVAL,HYPER,9,NOTES
10th style,GHOST REVIVAL,ANOTHER,12,
BISTROVER,GIGA RAID,NORMAL,5,NOTES
BISTROVER,GIGA RAID,HYPER,9,NOTES
BISTROVER,GIGA RAID,ANOTHER,11,
Rootage,GIGA THRASH,NORMAL,7,NOTES
Rootage,GIGA THRASH,HYPER,9,NOTES
Rootage,GIGA THRASH,ANOTHER,12,NOTES
HEROIC VERSE,GIGA VIOLATE,NORMAL,6,PEAK
HEROIC VERSE,GIGA VIOLATE,HYPER,8,NOTES
HEROIC VERSE,GIGA VIOLATE,ANOTHER,11,
IIDX RED,gigadelic,NORMAL,10,PEAK
IIDX RED,gigadelic,HYPER,12,PEAK
IIDX RED,gigadelic,ANOTHER,12,PEAK
CastHour,GiGaGaHell,NORMAL,7,NOTES
CastHour,GiGaGaHell,HYPER,10,PEAK
CastHour,GiGaGaHell,ANOTHER,12,PEAK
Lincle,GIGANT,NORMAL,3,PEAK
Lincle,GIGANT,HYPER,7,NOTES
Lincle,GIGANT,ANOTHER,10,NOTES
INFINITAS,Gimme a Big Beat,NORMAL,5,NOTES
INFINITAS,Gimme a Big Beat,HYPER,8,NOTES
INFINITAS,Gimme a Big Beat,ANOTHER,10,
EPOLIS,Glitch N Ride,NORMAL,7,SOF-LAN
EPOLIS,Glitch N Ride,HYPER,10,SOF-LAN
EPOLIS,Glitch N Ride,ANOTHER,12,
8th style,Giudecca,NORMAL,5,PEAK
8th style,Giudecca,HYPER,10,PEAK
8th style,Giudecca,ANOTHER,11,
SPADA,Give Me Your Love,NORMAL,4,
SPADA,Give Me Your Love,HYPER,7,PEAK
SPADA,Give Me Your Love,ANOTHER,10,PEAK
BISTROVER,Globe Glitter,NORMAL,5,
BISTROVER,Globe Glitter,HYPER,8,NOTES
BISTROVER,Globe Glitter,ANOTHER,11,
EPOLIS,GloriosA,NORMAL,6,NOTES
EPOLIS,GloriosA,HYPER,9,PEAK
EPOLIS,GloriosA,ANOTHER,11,
7th style,Glorious Days,NORMAL,6,SCRATCH
7th style,Glorious Days,HYPER,7,SOF-LAN
EPOLIS,GLORIOUS HAMMER,NORMAL,6,NOTES
EPOLIS,GLORIOUS HAMMER,HYPER,9,NOTES
EPOLIS,GLORIOUS HAMMER,ANOTHER,11,
Rootage,Glory,NORMAL,4,SCRATCH
Rootage,Glory,HYPER,7,NOTES
Rootage,Glory,ANOTHER,10,NOTES
SINOBUZ,Go Ahead!!,NORMAL,7,PEAK
SINOBUZ,Go Ahead!!,HYPER,10,PEAK
SINOBUZ,Go Ahead!!,ANOTHER,12,
EMPRESS,Go Beyond!!,NORMAL,6,PEAK
EMPRESS,Go Beyond!!,HYPER,10,PEAK
EMPRESS,Go Beyond!!,ANOTHER,12,PEAK
copula,Go Faraway,NORMAL,5,PEAK
copula,Go Faraway,HYPER,9,NOTES
copula,Go Faraway,ANOTHER,11,CHORD
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,NORMAL,6,PEAK
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,HYPER,10,NOTES
Rootage,GO OVER WITH GLARE -ROOTAGE 26-,ANOTHER,12,
Pinky Crush,God Mind,NORMAL,7,NOTES
Pinky Crush,God Mind,HYPER,10,PEAK
Pinky Crush,God Mind,ANOTHER,12,
copula,Godspeed,NORMAL,7,NOTES
copula,Godspeed,HYPER,10,NOTES
copula,Godspeed,ANOTHER,12,
GOLD,GOLD RUSH,NORMAL,6,NOTES
GOLD,GOLD RUSH,HYPER,8,NOTES
GOLD,GOLD RUSH,ANOTHER,10,CHORD
Resort Anthem,Golden Palms,NORMAL,5,PEAK
Resort Anthem,Golden Palms,HYPER,9,CHARGE
Resort Anthem,Golden Palms,ANOTHER,10,CHARGE
Resort Anthem,Golden Palms,LEGGENDARIA,11,
10th style,GRADIUS -FULL SPEED-,NORMAL,3,SOF-LAN
10th style,GRADIUS -FULL SPEED-,HYPER,7,SOF-LAN
10th style,GRADIUS -FULL SPEED-,ANOTHER,11,
tricoro,GRADIUS 2012,NORMAL,5,NOTES
tricoro,GRADIUS 2012,HYPER,8,NOTES
tricoro,GRADIUS 2012,ANOTHER,11,
1st&substream,GRADIUSIC CYBER,NORMAL,4,NOTES
1st&substream,GRADIUSIC CYBER,HYPER,9,PEAK
1st&substream,GRADIUSIC CYBER,ANOTHER,9,NOTES
copula,Grand Chariot,NORMAL,7,PEAK
copula,Grand Chariot,HYPER,10,NOTES
copula,Grand Chariot,ANOTHER,12,
PENDUAL,Gravigazer,NORMAL,5,SCRATCH
PENDUAL,Gravigazer,HYPER,9,PEAK
PENDUAL,Gravigazer,ANOTHER,12,
INFINITAS,GRAVITON,NORMAL,6,NOTES
INFINITAS,GRAVITON,HYPER,10,NOTES
INFINITAS,GRAVITON,ANOTHER,12,
HAPPY SKY,GREEN EYES,NORMAL,6,PEAK
HAPPY SKY,GREEN EYES,HYPER,9,PEAK
HAPPY SKY,GREEN EYES,ANOTHER,11,
GOLD,GRID KNIGHT,NORMAL,7,NOTES
GOLD,GRID KNIGHT,HYPER,8,NOTES
GOLD,GRID KNIGHT,ANOTHER,10,CHORD
GOLD,GRID KNIGHT,LEGGENDARIA,12,
INFINITAS,GROOVE 04,NORMAL,4,
INFINITAS,GROOVE 04,HYPER,7,NOTES
INFINITAS,GROOVE 04,ANOTHER,9,CHORD
PENDUAL,GUILTY,NORMAL,5,NOTES
PENDUAL,GUILTY,HYPER,9,PEAK
PENDUAL,GUILTY,ANOTHER,11,
SINOBUZ,GuNGNiR,NORMAL,7,NOTES
SINOBUZ,GuNGNiR,HYPER,10,NOTES
SINOBUZ,GuNGNiR,ANOTHER,12,
SINOBUZ,GuNGNiR,LEGGENDARIA,12,
SINOBUZ,HADES,NORMAL,5,PEAK
SINOBUZ,HADES,HYPER,9,NOTES
SINOBUZ,HADES,ANOTHER,12,PEAK
Lincle,HAERETICUS,NORMAL,5,NOTES
Lincle,HAERETICUS,HYPER,10,PEAK
Lincle,HAERETICUS,ANOTHER,12,
GOLD,HALF MOON,NORMAL,4,SCRATCH
GOLD,HALF MOON,HYPER,7,
7th style,Happy Wedding,NORMAL,6,PEAK
7th style,Happy Wedding,HYPER,8,NOTES
7th style,Happy Wedding,ANOTHER,10,PEAK
HAPPY SKY,HAPPY☆ANGEL,NORMAL,6,NOTES
HAPPY SKY,HAPPY☆ANGEL,HYPER,7,NOTES
HAPPY SKY,HAPPY☆ANGEL,ANOTHER,10,NOTES
INFINITAS,HAPPY☆LUCKY☆YEAPPY,NORMAL,5,SCRATCH
INFINITAS,HAPPY☆LUCKY☆YEAPPY,HYPER,9,SCRATCH
INFINITAS,HAPPY☆LUCKY☆YEAPPY,ANOTHER,11,
Rootage,HARD BRAIN,NORMAL,6,NOTES
Rootage,HARD BRAIN,HYPER,9,NOTES
Rootage,HARD BRAIN,ANOTHER,12,
EPOLIS,Hard Breaker,NORMAL,4,
EPOLIS,Hard Breaker,HYPER,8,PEAK
EPOLIS,Hard Breaker,ANOTHER,10,PEAK
CastHour,hard-wired,NORMAL,7,NOTES
CastHour,hard-wired,HYPER,10,NOTES
CastHour,hard-wired,ANOTHER,12,
Resort Anthem,Hardcore Mania,NORMAL,5,NOTES
Resort Anthem,Hardcore Mania,HYPER,8,
Resort Anthem,Hardcore Mania,ANOTHER,10,NOTES
INFINITAS,Harmonia,NORMAL,4,
INFINITAS,Harmonia,HYPER,7,NOTES
INFINITAS,Harmonia,ANOTHER,10,NOTES
DistorteD,Harmony and Lovely,NORMAL,5,PEAK
DistorteD,Harmony and Lovely,HYPER,9,NOTES
DistorteD,Harmony and Lovely,ANOTHER,11,
CastHour,Hat Surprise,NORMAL,4,SCRATCH
CastHour,Hat Surprise,HYPER,8,NOTES
CastHour,Hat Surprise,ANOTHER,11,
RESIDENT,Hat Surprise (Season 2),NORMAL,5,NOTES
RESIDENT,Hat Surprise (Season 2),HYPER,9,NOTES
RESIDENT,Hat Surprise (Season 2),ANOTHER,12,
EPOLIS,Hat Surprise (Season 3),NORMAL,6,NOTES
EPOLIS,Hat Surprise (Season 3),HYPER,10,
EPOLIS,Hat Surprise (Season 3),ANOTHER,11,NOTES
CANNON BALLERS,HAT TRICK,NORMAL,5,NOTES
CANNON BALLERS,HAT TRICK,HYPER,8,PEAK
CANNON BALLERS,HAT TRICK,ANOTHER,10,CHORD
INFINITAS,Ha･lle･lu･jah,NORMAL,4,PEAK
INFINITAS,Ha･lle･lu･jah,HYPER,7,NOTES
INFINITAS,Ha･lle･lu･jah,ANOTHER,9,
INFINITAS,Ha･lle･lu･jah,LEGGENDARIA,10,CHORD
CastHour,HEARTACHE,NORMAL,3,SCRATCH
CastHour,HEARTACHE,HYPER,7,SCRATCH
CastHour,HEARTACHE,ANOTHER,10,SCRATCH
GOLD,heaven above,NORMAL,5,PEAK
GOLD,heaven above,HYPER,7,PEAK
GOLD,heaven above,ANOTHER,9,PEAK
DistorteD,Heavenly Sun (IIDX VERSION),NORMAL,4,PEAK
DistorteD,Heavenly Sun (IIDX VERSION),HYPER,8,NOTES
DistorteD,Heavenly Sun (IIDX VERSION),ANOTHER,10,NOTES
DistorteD,Heavenly Sun (IIDX VERSION),LEGGENDARIA,11,NOTES
Rootage,HEISEI,NORMAL,6,PEAK
